n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
32;(3, 3);68;(3, 3);(3, 3);0.11924068903651584;0.3739835189584207;180;100;relu;rmsprop;8;0.6480000019073486
38;(4, 4);54;(3, 3);(3, 3);0.1781823730450892;0.45343443305027975;100;60;relu;rmsprop;24;0.6784999966621399
14;(4, 4);62;(3, 3);(3, 3);0.15846995418697618;0.4017358266655249;200;80;relu;rmsprop;16;0.7186999917030334
38;(3, 3);50;(3, 3);(3, 3);0.12417345766467039;0.3560459222211213;130;60;relu;rmsprop;32;0.6934999823570251
8;(4, 4);58;(3, 3);(2, 2);0.10550894872149598;0.46100965813206024;180;80;relu;rmsprop;24;0.7178000211715698
26;(5, 5);68;(4, 4);(3, 3);0.13531206360469838;0.3883016112643932;160;60;relu;rmsprop;16;0.7530999779701233
38;(4, 4);62;(3, 3);(3, 3);0.14204139674800853;0.33804260923901724;200;60;relu;rmsprop;32;0.762499988079071
38;(4, 4);62;(3, 3);(3, 3);0.1483335828241859;0.33161307559744013;200;60;relu;rmsprop;32;0.7534999847412109
20;(4, 4);62;(3, 3);(3, 3);0.15571527823579956;0.3357546048117583;200;60;leakyrelu;sgd;32;0.7148000001907349
32;(3, 3);62;(3, 3);(2, 2);0.20121763979747936;0.3463958204019351;200;60;relu;rmsprop;32;0.7278000116348267
38;(4, 4);62;(4, 4);(3, 3);0.19257986328986387;0.3061921081454452;200;60;relu;rmsprop;32;0.7181000113487244
14;(5, 5);62;(3, 3);(3, 3);0.1645138151290338;0.3202319752148821;200;60;relu;rmsprop;32;0.733299970626831
38;(4, 4);62;(3, 3);(3, 3);0.1436549398694919;0.3386846051112296;200;60;leakyrelu;sgd;32;0.7008000016212463
26;(4, 4);62;(3, 3);(2, 2);0.1694684665660713;0.3562248619834433;200;60;relu;rmsprop;32;0.741100013256073
8;(3, 3);68;(3, 3);(3, 3);0.12751275347242091;0.3678314718712204;180;60;relu;rmsprop;32;0.7404000163078308
38;(4, 4);64;(4, 4);(3, 3);0.2439708740051227;0.3250578201441972;200;60;relu;rmsprop;24;0.7225000262260437
20;(5, 5);54;(3, 3);(3, 3);0.17858257995858903;0.4768890369067723;100;100;leakyrelu;rmsprop;8;0.6464999914169312
38;(4, 4);62;(3, 3);(3, 3);0.26416585310780516;0.48530506699542436;200;60;relu;sgd;32;0.7031000256538391
32;(4, 4);68;(3, 3);(2, 2);0.1934367482163343;0.43737945042857296;180;60;relu;rmsprop;24;0.7315000295639038
14;(4, 4);58;(4, 4);(3, 3);0.1400215118404484;0.4267797694252888;160;60;relu;rmsprop;32;0.7267000079154968
38;(3, 3);62;(3, 3);(3, 3);0.27895006605576456;0.31484749928617894;200;60;relu;rmsprop;24;0.7239999771118164
38;(4, 4);68;(3, 3);(3, 3);0.15231870768176253;0.3780249993203115;180;100;leakyrelu;sgd;32;0.6772000193595886
8;(5, 5);62;(3, 3);(2, 2);0.16171179742323177;0.4081024266185475;200;60;relu;rmsprop;8;0.7069000005722046
26;(4, 4);64;(3, 3);(3, 3);0.18346475768178583;0.47309761552181584;100;60;relu;rmsprop;32;0.6956999897956848
38;(4, 4);54;(4, 4);(3, 3);0.11614607410719234;0.48167771580663266;180;60;relu;rmsprop;24;0.73580002784729
20;(4, 4);62;(3, 3);(3, 3);0.1756722727483304;0.3011197341244242;200;100;relu;rmsprop;32;0.7390000224113464
38;(3, 3);68;(3, 3);(3, 3);0.18803993186643972;0.4508108256187461;160;60;leakyrelu;sgd;24;0.6726999878883362
32;(4, 4);58;(3, 3);(2, 2);0.1322648254524012;0.3582822180927143;180;60;relu;rmsprop;8;0.7125999927520752
38;(5, 5);62;(3, 3);(3, 3);0.1688850852368845;0.4429547071149796;200;60;relu;rmsprop;32;0.7075999975204468
14;(4, 4);68;(4, 4);(3, 3);0.2081342393491169;0.45729546609140775;200;60;relu;rmsprop;24;0.6769999861717224
38;(4, 4);64;(3, 3);(3, 3);0.221575125826167;0.39721526827631587;100;100;relu;rmsprop;32;0.7480000257492065
8;(4, 4);54;(3, 3);(3, 3);0.11277793674324635;0.49297437198195604;180;60;leakyrelu;sgd;32;0.6333000063896179
26;(4, 4);62;(3, 3);(3, 3);0.2305337580169945;0.43453530125688444;200;60;relu;rmsprop;24;0.7032999992370605
38;(3, 3);68;(3, 3);(2, 2);0.100400193541526;0.4665174188660428;160;60;relu;rmsprop;8;0.7425000071525574
20;(5, 5);62;(4, 4);(3, 3);0.14413961281228044;0.4185638717086899;180;60;relu;rmsprop;32;0.7439000010490417
38;(4, 4);58;(3, 3);(3, 3);0.12629856935296904;0.38586432477304317;200;100;relu;rmsprop;24;0.7524999976158142
32;(4, 4);62;(3, 3);(3, 3);0.12074921953662883;0.40534682194693866;100;60;leakyrelu;sgd;32;0.6503999829292297
38;(4, 4);68;(3, 3);(3, 3);0.15299279549106723;0.4992186934949386;180;60;relu;rmsprop;24;0.7228000164031982
14;(4, 4);64;(3, 3);(2, 2);0.13729333088196327;0.34961444977973666;200;60;relu;rmsprop;32;0.5831000208854675
38;(3, 3);54;(4, 4);(3, 3);0.15711859534312222;0.4884115680211794;200;60;relu;rmsprop;8;0.741599977016449
8;(5, 5);62;(3, 3);(3, 3);0.21616908125582512;0.39298512964673227;160;100;relu;rmsprop;32;0.6420999765396118
26;(4, 4);68;(3, 3);(3, 3);0.10590356599593043;0.44538224800967674;180;60;leakyrelu;sgd;24;0.6538000106811523
38;(4, 4);62;(3, 3);(3, 3);0.11128521995382706;0.360966306976895;200;60;relu;rmsprop;32;0.7562999725341797
20;(4, 4);58;(3, 3);(2, 2);0.19618441941904607;0.3072030707751895;100;60;relu;rmsprop;24;0.7182000279426575
38;(4, 4);62;(4, 4);(3, 3);0.1482482601439625;0.4128145344997696;180;60;relu;rmsprop;32;0.7675999999046326
38;(3, 3);62;(4, 4);(3, 3);0.14784396449709744;0.3424971453084936;180;100;relu;rmsprop;32;0.6624000072479248
32;(4, 4);62;(4, 4);(3, 3);0.13032082374488949;0.3291292119360294;180;60;relu;rmsprop;8;0.7003999948501587
38;(5, 5);62;(4, 4);(3, 3);0.16586782567612532;0.37294560503830343;180;60;leakyrelu;sgd;32;0.690500020980835
14;(4, 4);62;(4, 4);(3, 3);0.1352659683872058;0.3667593357212257;180;60;relu;rmsprop;24;0.7311999797821045
38;(4, 4);62;(4, 4);(2, 2);0.2591514940980374;0.33685410076568467;180;80;relu;rmsprop;32;0.7231000065803528
8;(4, 4);62;(4, 4);(3, 3);0.17354297134266022;0.31320516567410484;180;60;relu;rmsprop;16;0.7268000245094299
26;(3, 3);62;(4, 4);(3, 3);0.2407767044464808;0.3518333579673316;180;60;relu;rmsprop;24;0.7330999970436096
38;(4, 4);62;(4, 4);(3, 3);0.16147245352628944;0.4126894682648858;180;100;leakyrelu;sgd;32;0.6859999895095825
20;(5, 5);62;(4, 4);(3, 3);0.11863205163927174;0.3780273563429593;180;60;relu;rmsprop;8;0.6388999819755554
38;(4, 4);64;(4, 4);(2, 2);0.12411288184401183;0.32401481367186613;180;80;relu;rmsprop;32;0.7473000288009644
32;(4, 4);54;(4, 4);(3, 3);0.17967996641542675;0.42238172160179943;130;60;relu;rmsprop;24;0.6675999760627747
38;(4, 4);62;(4, 4);(3, 3);0.18640326851623987;0.40312821389644365;160;60;relu;rmsprop;16;0.7053999900817871
14;(3, 3);62;(4, 4);(3, 3);0.10277968282030217;0.3874477087941681;180;60;leakyrelu;sgd;32;0.6869000196456909
38;(4, 4);58;(4, 4);(3, 3);0.13972395795399223;0.3629285100307032;180;100;relu;rmsprop;24;0.7601000070571899
8;(5, 5);62;(4, 4);(2, 2);0.15103002835635698;0.3337715669397368;100;60;relu;rmsprop;32;0.6952000260353088
